Area,Item,Year,Area harvested,Yield
Botswana,Cabbages and other brassicas,1961,0,0
Botswana,Cabbages and other brassicas,1962,0,0
Botswana,Cabbages and other brassicas,1963,0,0
Botswana,Cabbages and other brassicas,1964,0,0
Botswana,Cabbages and other brassicas,1965,0,0
Botswana,Cabbages and other brassicas,1966,0,0
Botswana,Cabbages and other brassicas,1967,0,0
Botswana,Cabbages and other brassicas,1968,0,0
Botswana,Cabbages and other brassicas,1969,0,0
Botswana,Cabbages and other brassicas,1970,0,0
Botswana,Cabbages and other brassicas,1971,0,0
Botswana,Cabbages and other brassicas,1972,0,0
Botswana,Cabbages and other brassicas,1973,0,0
Botswana,Cabbages and other brassicas,1974,0,0
Botswana,Cabbages and other brassicas,1975,0,0
Botswana,Cabbages and other brassicas,1976,0,0
Botswana,Cabbages and other brassicas,1977,0,0
Botswana,Cabbages and other brassicas,1978,0,0
Botswana,Cabbages and other brassicas,1979,0,0
Botswana,Cabbages and other brassicas,1980,0,0
Botswana,Cabbages and other brassicas,1981,0,0
Botswana,Cabbages and other brassicas,1982,0,0
Botswana,Cabbages and other brassicas,1983,0,0
Botswana,Cabbages and other brassicas,1984,0,0
Botswana,Cabbages and other brassicas,1985,0,0
Botswana,Cabbages and other brassicas,1986,0,0
Botswana,Cabbages and other brassicas,1987,0,0
Botswana,Cabbages and other brassicas,1988,0,0
Botswana,Cabbages and other brassicas,1989,0,0
Botswana,Cabbages and other brassicas,1990,0,0
Botswana,Cabbages and other brassicas,1991,0,0
Botswana,Cabbages and other brassicas,1992,0,0
Botswana,Cabbages and other brassicas,1993,0,0
Botswana,Cabbages and other brassicas,1994,0,0
Botswana,Cabbages and other brassicas,1995,0,0
Botswana,Cabbages and other brassicas,1996,0,0
Botswana,Cabbages and other brassicas,1997,0,0
Botswana,Cabbages and other brassicas,1998,0,0
Botswana,Cabbages and other brassicas,1999,0,0
Botswana,Cabbages and other brassicas,2000,0,0
Botswana,Cabbages and other brassicas,2001,0,0
Botswana,Cabbages and other brassicas,2002,0,0
Botswana,Cabbages and other brassicas,2003,0,0
Botswana,Cabbages and other brassicas,2004,0,0
Botswana,Cabbages and other brassicas,2005,0,0
Botswana,Cabbages and other brassicas,2006,0,0
Botswana,Cabbages and other brassicas,2007,0,0
Botswana,Cabbages and other brassicas,2008,0,0
Botswana,Cabbages and other brassicas,2009,0,0
Botswana,Cabbages and other brassicas,2010,0,0
Botswana,Cabbages and other brassicas,2011,0,0
Botswana,Cabbages and other brassicas,2012,0,0
Botswana,Cabbages and other brassicas,2013,0,0
Botswana,Cabbages and other brassicas,2014,0,0
Botswana,Cabbages and other brassicas,2015,"105.000000""""","775905.000000"""""
Botswana,Cabbages and other brassicas,2016,"100.000000""""","800000.000000"""""
Botswana,Cabbages and other brassicas,2017,"439.000000""""","310615.000000"""""
Botswana,Cabbages and other brassicas,2018,"476.000000""""","310714.000000"""""
Botswana,Cabbages and other brassicas,2019,"490.000000""""","293000.000000"""""
Botswana,Carrots and turnips,1961,0,0
Botswana,Carrots and turnips,1962,0,0
Botswana,Carrots and turnips,1963,0,0
Botswana,Carrots and turnips,1964,0,0
Botswana,Carrots and turnips,1965,0,0
Botswana,Carrots and turnips,1966,0,0
Botswana,Carrots and turnips,1967,0,0
Botswana,Carrots and turnips,1968,0,0
Botswana,Carrots and turnips,1969,0,0
Botswana,Carrots and turnips,1970,0,0
Botswana,Carrots and turnips,1971,0,0
Botswana,Carrots and turnips,1972,0,0
Botswana,Carrots and turnips,1973,0,0
Botswana,Carrots and turnips,1974,0,0
Botswana,Carrots and turnips,1975,0,0
Botswana,Carrots and turnips,1976,0,0
Botswana,Carrots and turnips,1977,0,0
Botswana,Carrots and turnips,1978,0,0
Botswana,Carrots and turnips,1979,0,0
Botswana,Carrots and turnips,1980,0,0
Botswana,Carrots and turnips,1981,0,0
Botswana,Carrots and turnips,1982,0,0
Botswana,Carrots and turnips,1983,0,0
Botswana,Carrots and turnips,1984,0,0
Botswana,Carrots and turnips,1985,0,0
Botswana,Carrots and turnips,1986,0,0
Botswana,Carrots and turnips,1987,0,0
Botswana,Carrots and turnips,1988,0,0
Botswana,Carrots and turnips,1989,0,0
Botswana,Carrots and turnips,1990,0,0
Botswana,Carrots and turnips,1991,0,0
Botswana,Carrots and turnips,1992,0,0
Botswana,Carrots and turnips,1993,0,0
Botswana,Carrots and turnips,1994,0,0
Botswana,Carrots and turnips,1995,0,0
Botswana,Carrots and turnips,1996,0,0
Botswana,Carrots and turnips,1997,0,0
Botswana,Carrots and turnips,1998,0,0
Botswana,Carrots and turnips,1999,0,0
Botswana,Carrots and turnips,2000,0,0
Botswana,Carrots and turnips,2001,0,0
Botswana,Carrots and turnips,2002,0,0
Botswana,Carrots and turnips,2003,0,0
Botswana,Carrots and turnips,2004,0,0
Botswana,Carrots and turnips,2005,0,0
Botswana,Carrots and turnips,2006,0,0
Botswana,Carrots and turnips,2007,0,0
Botswana,Carrots and turnips,2008,0,0
Botswana,Carrots and turnips,2009,0,0
Botswana,Carrots and turnips,2010,0,0
Botswana,Carrots and turnips,2011,0,0
Botswana,Carrots and turnips,2012,0,0
Botswana,Carrots and turnips,2013,0,0
Botswana,Carrots and turnips,2014,0,0
Botswana,Carrots and turnips,2015,0,0
Botswana,Carrots and turnips,2016,0,0
Botswana,Carrots and turnips,2017,"135.000000""""","281926.000000"""""
Botswana,Carrots and turnips,2018,"133.000000""""","252481.000000"""""
Botswana,Carrots and turnips,2019,"140.000000""""","277857.000000"""""
Botswana,Cereals nes,1961,0,0
Botswana,Cereals nes,1962,0,0
Botswana,Cereals nes,1963,0,0
Botswana,Cereals nes,1964,0,0
Botswana,Cereals nes,1965,0,0
Botswana,Cereals nes,1966,0,0
Botswana,Cereals nes,1967,0,0
Botswana,Cereals nes,1968,0,0
Botswana,Cereals nes,1969,0,0
Botswana,Cereals nes,1970,0,0
Botswana,Cereals nes,1971,0,0
Botswana,Cereals nes,1972,0,0
Botswana,Cereals nes,1973,0,0
Botswana,Cereals nes,1974,0,0
Botswana,Cereals nes,1975,0,0
Botswana,Cereals nes,1976,"1200.000000""""","7500.000000"""""
Botswana,Cereals nes,1977,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1978,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1979,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1980,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1981,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1982,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1983,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1984,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1985,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1986,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1987,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1988,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1989,"2000.000000""""","8000.000000"""""
Botswana,Cereals nes,1990,"2200.000000""""","8182.000000"""""
Botswana,Cereals nes,1991,"2500.000000""""","8000.000000"""""
Botswana,Cereals nes,1992,"2900.000000""""","8621.000000"""""
Botswana,Cereals nes,1993,"3500.000000""""","8571.000000"""""
Botswana,Cereals nes,1994,"3446.000000""""","8456.000000"""""
Botswana,Cereals nes,1995,"3265.000000""""","8472.000000"""""
Botswana,Cereals nes,1996,"3104.000000""""","8515.000000"""""
Botswana,Cereals nes,1997,"2928.000000""""","8566.000000"""""
