Area,Item,Year,Area harvested,Yield
France,"Almonds, with shell",1961,0,0
France,"Almonds, with shell",1962,0,0
France,"Almonds, with shell",1963,0,0
France,"Almonds, with shell",1964,0,0
France,"Almonds, with shell",1965,0,0
France,"Almonds, with shell",1966,0,0
France,"Almonds, with shell",1967,0,0
France,"Almonds, with shell",1968,0,0
France,"Almonds, with shell",1969,0,0
France,"Almonds, with shell",1970,0,0
France,"Almonds, with shell",1971,0,0
France,"Almonds, with shell",1972,0,0
France,"Almonds, with shell",1973,0,0
France,"Almonds, with shell",1974,0,0
France,"Almonds, with shell",1975,0,0
France,"Almonds, with shell",1976,0,0
France,"Almonds, with shell",1977,0,0
France,"Almonds, with shell",1978,0,0
France,"Almonds, with shell",1979,0,0
France,"Almonds, with shell",1980,0,0
France,"Almonds, with shell",1981,0,0
France,"Almonds, with shell",1982,0,0
France,"Almonds, with shell",1983,0,0
France,"Almonds, with shell",1984,0,0
France,"Almonds, with shell",1985,"1700.000000""""","23529.000000"""""
France,"Almonds, with shell",1986,"1700.000000""""","25235.000000"""""
France,"Almonds, with shell",1987,"1700.000000""""","26471.000000"""""
France,"Almonds, with shell",1988,"1700.000000""""","16471.000000"""""
France,"Almonds, with shell",1989,"1690.000000""""","21071.000000"""""
France,"Almonds, with shell",1990,"1700.000000""""","24706.000000"""""
France,"Almonds, with shell",1991,"1599.000000""""","31069.000000"""""
France,"Almonds, with shell",1992,"1648.000000""""","28101.000000"""""
France,"Almonds, with shell",1993,"1820.000000""""","15269.000000"""""
France,"Almonds, with shell",1994,"1921.000000""""","20562.000000"""""
France,"Almonds, with shell",1995,"1887.000000""""","11754.000000"""""
France,"Almonds, with shell",1996,"1795.000000""""","11638.000000"""""
France,"Almonds, with shell",1997,"1826.000000""""","14562.000000"""""
France,"Almonds, with shell",1998,"1806.000000""""","9136.000000"""""
France,"Almonds, with shell",1999,"1741.000000""""","10655.000000"""""
France,"Almonds, with shell",2000,"1602.000000""""","12640.000000"""""
France,"Almonds, with shell",2001,"1421.000000""""","11358.000000"""""
France,"Almonds, with shell",2002,"1381.000000""""","16104.000000"""""
France,"Almonds, with shell",2003,"1401.000000""""","13619.000000"""""
France,"Almonds, with shell",2004,"1367.000000""""","16511.000000"""""
France,"Almonds, with shell",2005,"1357.000000""""","14886.000000"""""
France,"Almonds, with shell",2006,"1315.000000""""","13536.000000"""""
France,"Almonds, with shell",2007,"1293.000000""""","12305.000000"""""
France,"Almonds, with shell",2008,"1273.000000""""","8185.000000"""""
France,"Almonds, with shell",2009,"1293.000000""""","8507.000000"""""
France,"Almonds, with shell",2010,"1262.000000""""","5650.000000"""""
France,"Almonds, with shell",2011,"1255.000000""""","5060.000000"""""
France,"Almonds, with shell",2012,"1194.000000""""","8275.000000"""""
France,"Almonds, with shell",2013,"1059.000000""""","5949.000000"""""
France,"Almonds, with shell",2014,"1134.000000""""","9409.000000"""""
France,"Almonds, with shell",2015,"1124.000000""""","6940.000000"""""
France,"Almonds, with shell",2016,"1201.000000""""","9484.000000"""""
France,"Almonds, with shell",2017,"1242.000000""""","8680.000000"""""
France,"Almonds, with shell",2018,"1220.000000""""","9262.000000"""""
France,"Almonds, with shell",2019,"1180.000000""""","9576.000000"""""
France,Apples,1961,"97362.000000""""","220004.000000"""""
France,Apples,1962,"102946.000000""""","490548.000000"""""
France,Apples,1963,"104915.000000""""","246009.000000"""""
France,Apples,1964,"106956.000000""""","320132.000000"""""
France,Apples,1965,"105816.000000""""","347301.000000"""""
France,Apples,1966,"111932.000000""""","249795.000000"""""
France,Apples,1967,"92244.000000""""","416938.000000"""""
France,Apples,1968,"95224.000000""""","374695.000000"""""
France,Apples,1969,"98335.000000""""","343418.000000"""""
France,Apples,1970,"90000.000000""""","433667.000000"""""
France,Apples,1971,"87645.000000""""","338525.000000"""""
France,Apples,1972,"82796.000000""""","308348.000000"""""
France,Apples,1973,"82574.000000""""","395403.000000"""""
France,Apples,1974,"79812.000000""""","345437.000000"""""
France,Apples,1975,"77434.000000""""","400858.000000"""""
France,Apples,1976,"76432.000000""""","326696.000000"""""
France,Apples,1977,"73770.000000""""","228684.000000"""""
France,Apples,1978,"73377.000000""""","422476.000000"""""
France,Apples,1979,"73100.000000""""","337073.000000"""""
