Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1961","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1962","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1963","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1964","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1965","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1966","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1967","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1968","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1969","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1970","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1971","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1972","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1973","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1974","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1975","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1976","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1977","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1978","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1979","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1980","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1981","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1982","ha","0"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1983","ha","9600"
"Crops and livestock products","Thailand","Yield","Areca nuts","1983","100 g/ha","15625"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1984","ha","9600"
"Crops and livestock products","Thailand","Yield","Areca nuts","1984","100 g/ha","15625"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1985","ha","12000"
"Crops and livestock products","Thailand","Yield","Areca nuts","1985","100 g/ha","15000"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1986","ha","9300"
"Crops and livestock products","Thailand","Yield","Areca nuts","1986","100 g/ha","15054"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1987","ha","8000"
"Crops and livestock products","Thailand","Yield","Areca nuts","1987","100 g/ha","15000"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1988","ha","8000"
"Crops and livestock products","Thailand","Yield","Areca nuts","1988","100 g/ha","15000"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1989","ha","8500"
"Crops and livestock products","Thailand","Yield","Areca nuts","1989","100 g/ha","14824"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1990","ha","8134"
"Crops and livestock products","Thailand","Yield","Areca nuts","1990","100 g/ha","16290"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1991","ha","8534"
"Crops and livestock products","Thailand","Yield","Areca nuts","1991","100 g/ha","16242"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1992","ha","8823"
"Crops and livestock products","Thailand","Yield","Areca nuts","1992","100 g/ha","16244"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1993","ha","8341"
"Crops and livestock products","Thailand","Yield","Areca nuts","1993","100 g/ha","16186"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1994","ha","9656"
"Crops and livestock products","Thailand","Yield","Areca nuts","1994","100 g/ha","16086"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1995","ha","10000"
"Crops and livestock products","Thailand","Yield","Areca nuts","1995","100 g/ha","16000"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1996","ha","8000"
"Crops and livestock products","Thailand","Yield","Areca nuts","1996","100 g/ha","16250"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1997","ha","10359"
"Crops and livestock products","Thailand","Yield","Areca nuts","1997","100 g/ha","16290"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","1998","ha","9000"
"Crops and livestock products","Thailand","Yield","Areca nuts","1998","100 g/ha","16667"
