"Area","Item","Year","Area_harvested","Yield","temperature","precipitation","humidity","Soil_PH","Soil_Nitrogen","Soil_OM","VHI","ASI"
"Thailand","Areca nuts",1961,0.0,0.0,26.23,1740.1,78.5,4.33,0.92,3.69,0.36,19.17
"Thailand","Areca nuts",1962,0.0,0.0,26.08,1586.14,76.3,5.95,4.05,2.66,0.55,3.96
"Thailand","Areca nuts",1963,0.0,0.0,26.07,1664.81,77.3,4.72,1.49,3.91,0.4,8.93
"Thailand","Areca nuts",1964,0.0,0.0,26.14,1689.46,73.19,4.89,3.02,3.65,0.43,7.68
"Thailand","Areca nuts",1965,0.0,0.0,26.28,1600.65,73.5,4.5,2.43,2.92,0.41,18.26
"Thailand","Areca nuts",1966,0.0,0.0,26.75,1762.56,76.6,4.62,4.74,3.13,0.57,9.75
"Thailand","Areca nuts",1967,0.0,0.0,26.12,1455.12,74.5,4.28,2.69,1.76,0.43,6.81
"Thailand","Areca nuts",1968,0.0,0.0,26.43,1472.85,77.2,4.21,2.59,2.37,0.37,9.35
"Thailand","Areca nuts",1969,0.0,0.0,26.56,1639.69,74.5,4.43,2.82,3.45,0.38,15.97
"Thailand","Areca nuts",1970,0.0,0.0,26.33,1867.78,77.5,4.37,1.64,3.76,0.44,10.21
"Thailand","Areca nuts",1971,0.0,0.0,25.72,1642.87,74.81,5.18,1.49,1.89,0.57,12.86
"Thailand","Areca nuts",1972,0.0,0.0,26.46,1555.46,75.0,4.2,1.14,3.12,0.42,8.03
"Thailand","Areca nuts",1973,0.0,0.0,26.47,1589.83,75.8,4.91,4.16,3.9,0.55,6.29
"Thailand","Areca nuts",1974,0.0,0.0,25.99,1681.47,77.2,5.49,1.87,2.5,0.38,17.35
"Thailand","Areca nuts",1975,0.0,0.0,26.21,1726.68,77.2,4.65,0.76,2.84,0.47,11.07
"Thailand","Areca nuts",1976,0.0,0.0,26.11,1598.93,74.1,4.94,3.84,3.77,0.47,19.24
"Thailand","Areca nuts",1977,0.0,0.0,26.36,1378.06,71.8,4.26,2.7,3.08,0.58,21.21
"Thailand","Areca nuts",1978,0.0,0.0,26.67,1623.1,74.4,5.93,3.04,3.76,0.37,18.59
"Thailand","Areca nuts",1979,0.0,0.0,27.05,1294.04,73.2,5.35,2.48,3.98,0.4,10.98
"Thailand","Areca nuts",1980,0.0,0.0,26.74,1669.85,73.0,4.7,2.91,2.89,0.38,22.0
"Thailand","Areca nuts",1981,0.0,0.0,25.97,1553.21,74.4,4.56,1.47,2.72,0.4,9.56
"Thailand","Areca nuts",1982,0.0,0.0,26.06,1504.89,75.2,4.83,1.72,3.97,0.55,13.46
"Thailand","Areca nuts",1983,9600.0,15625.0,26.4,1632.68,74.9,5.31,2.5,2.66,0.56,16.26
"Thailand","Areca nuts",1984,9600.0,15625.0,26.11,1504.35,73.0,5.5,1.19,3.52,0.55,1.77
"Thailand","Areca nuts",1985,12000.0,15000.0,26.19,1539.99,73.0,4.5,3.36,3.75,0.49,7.86
"Thailand","Areca nuts",1986,9300.0,15054.0,26.14,1497.08,71.7,4.28,4.11,2.99,0.43,20.81
"Thailand","Areca nuts",1987,8000.0,15000.0,26.97,1494.28,70.9,5.8,0.77,2.64,0.43,21.68
"Thailand","Areca nuts",1988,8000.0,15000.0,26.73,1744.1,72.4,5.33,1.41,1.55,0.53,1.42
"Thailand","Areca nuts",1989,8500.0,14824.0,26.73,1419.78,71.4,4.36,3.62,2.93,0.44,14.05
"Thailand","Areca nuts",1990,8134.0,16290.0,27.04,1529.3,70.5,5.43,2.14,3.27,0.46,10.45
"Thailand","Areca nuts",1991,8534.0,16242.0,27.11,1425.79,71.65,4.76,0.4,1.79,0.36,42.0
"Thailand","Areca nuts",1992,8823.0,16244.0,26.72,1370.1,70.9,5.82,1.31,2.79,0.43,17.14
"Thailand","Areca nuts",1993,8341.0,16186.0,26.74,1330.24,71.9,6.1,3.75,1.91,0.47,4.14
"Thailand","Areca nuts",1994,9656.0,16086.0,26.81,1653.44,72.6,4.76,3.68,1.56,0.52,2.46
"Thailand","Areca nuts",1995,10000.0,16000.0,26.7,1669.6,79.0,5.52,2.18,3.77,0.51,3.14
"Thailand","Areca nuts",1996,8000.0,16250.0,26.32,1754.71,69.8,4.37,1.77,3.72,0.54,1.09
"Thailand","Areca nuts",1997,10359.0,16290.0,26.86,1390.14,67.4,4.85,2.3,2.09,0.5,2.07
"Thailand","Areca nuts",1998,9000.0,16667.0,27.5,1520.52,73.2,4.96,1.73,1.96,0.54,3.08
"Thailand","Areca nuts",1999,11000.0,16364.0,26.3,1771.63,72.7,5.88,2.93,2.56,0.62,0.28
"Thailand","Areca nuts",2000,13000.0,15385.0,26.53,1760.17,70.9,5.45,4.44,3.82,0.52,0.98
"Thailand","Areca nuts",2001,14000.0,16429.0,26.71,1593.13,71.6,5.39,4.2,3.92,0.55,0.41
"Thailand","Areca nuts",2002,16000.0,15625.0,26.8,1645.98,72.67,4.62,0.39,3.69,0.51,1.95
"Thailand","Areca nuts",2003,16659.0,16207.0,26.71,1539.52,69.7,4.61,4.56,3.65,0.48,5.69
"Thailand","Areca nuts",2004,33500.0,16716.0,26.64,1438.8,68.2,5.25,3.92,2.03,0.41,25.72
"Thailand","Areca nuts",2005,13000.0,16923.0,26.85,1581.45,71.77,4.95,0.97,3.4,0.46,6.96
"Thailand","Areca nuts",2006,16000.0,16875.0,26.74,1714.52,69.4,5.12,1.94,3.31,0.46,9.52
"Thailand","Areca nuts",2007,23000.0,16957.0,26.64,1662.52,69.7,5.27,0.53,3.31,0.46,9.38
"Thailand","Areca nuts",2008,21000.0,16667.0,26.29,1712.79,71.0,4.8,2.76,1.96,0.59,0.14
"Thailand","Areca nuts",2009,24000.0,17083.0,26.68,1638.83,71.3,4.76,2.34,2.56,0.53,0.46
"Thailand","Areca nuts",2010,23326.0,17426.0,27.32,1637.71,73.3,5.9,3.53,2.06,0.55,1.52
"Thailand","Areca nuts",2011,21000.0,17143.0,26.27,1990.16,73.1,5.79,2.24,2.18,0.6,0.4
"Thailand","Areca nuts",2012,24000.0,17083.0,27.16,1538.85,74.6,5.66,4.15,3.91,0.54,0.9
"Thailand","Areca nuts",2013,24000.0,16667.0,26.8,1760.87,73.0,5.41,1.5,3.6,0.54,1.86
"Thailand","Areca nuts",2014,21540.0,16816.0,26.9,1472.06,71.9,5.2,1.29,2.8,0.53,1.55
"Thailand","Areca nuts",2015,23031.0,16954.0,27.3,1420.21,72.7,4.69,2.13,2.01,0.48,8.81
"Thailand","Areca nuts",2016,22857.0,16810.0,27.41,1600.27,68.73,5.5,2.54,2.07,0.5,8.16
"Thailand","Areca nuts",2017,22476.0,16861.0,26.93,1985.24,73.2,5.85,2.5,2.11,0.58,0.64
"Thailand","Areca nuts",2018,22788.0,16875.0,26.92,1573.64,73.2,5.75,1.75,3.67,0.56,1.38
"Thailand","Areca nuts",2019,22707.0,16849.0,27.49,1308.5,71.9,4.62,0.61,3.24,0.5,7.06
"Thailand","Areca nuts",2020,22657.0,16862.0,27.42,1541.5,72.0,4.25,1.72,1.74,0.55,5.35
"Thailand","Areca nuts",2021,22717.0,16862.0,26.9,1631.11,71.5,5.1,1.57,1.65,0.58,1.39
"Thailand","Areca nuts",2022,22694.0,16858.0,26.78,2066.47,73.0,5.15,0.33,2.34,0.59,1.4
"Thailand","Asparagus",1961,0.0,0.0,26.23,1740.1,78.5,4.33,0.92,3.69,0.36,19.17
"Thailand","Asparagus",1962,0.0,0.0,26.08,1586.14,76.3,5.95,4.05,2.66,0.55,3.96
"Thailand","Asparagus",1963,0.0,0.0,26.07,1664.81,77.3,4.72,1.49,3.91,0.4,8.93
"Thailand","Asparagus",1964,0.0,0.0,26.14,1689.46,73.19,4.89,3.02,3.65,0.43,7.68
"Thailand","Asparagus",1965,0.0,0.0,26.28,1600.65,73.5,4.5,2.43,2.92,0.41,18.26
"Thailand","Asparagus",1966,0.0,0.0,26.75,1762.56,76.6,4.62,4.74,3.13,0.57,9.75
"Thailand","Asparagus",1967,0.0,0.0,26.12,1455.12,74.5,4.28,2.69,1.76,0.43,6.81
"Thailand","Asparagus",1968,0.0,0.0,26.43,1472.85,77.2,4.21,2.59,2.37,0.37,9.35
"Thailand","Asparagus",1969,0.0,0.0,26.56,1639.69,74.5,4.43,2.82,3.45,0.38,15.97
"Thailand","Asparagus",1970,0.0,0.0,26.33,1867.78,77.5,4.37,1.64,3.76,0.44,10.21
"Thailand","Asparagus",1971,0.0,0.0,25.72,1642.87,74.81,5.18,1.49,1.89,0.57,12.86
"Thailand","Asparagus",1972,0.0,0.0,26.46,1555.46,75.0,4.2,1.14,3.12,0.42,8.03
"Thailand","Asparagus",1973,0.0,0.0,26.47,1589.83,75.8,4.91,4.16,3.9,0.55,6.29
"Thailand","Asparagus",1974,0.0,0.0,25.99,1681.47,77.2,5.49,1.87,2.5,0.38,17.35
