Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2012","2012","1000 ha","2658.7125","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2012","2012","1000 ha","66","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2013","2013","1000 ha","2616.425","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2013","2013","1000 ha","73","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2014","2014","1000 ha","2575.1375","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2014","2014","1000 ha","79","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2015","2015","1000 ha","2537.85","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2015","2015","1000 ha","81","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2016","2016","1000 ha","2502.5625","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2016","2016","1000 ha","81","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2017","2017","1000 ha","2467.275","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2017","2017","1000 ha","81","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2018","2018","1000 ha","2396.7","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2018","2018","1000 ha","81","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2019","2019","1000 ha","2394.7","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2019","2019","1000 ha","83","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","25773.2","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2020","2020","1000 ha","2394.7","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","83","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","25773","A","Official figure",""
"RL","Land Use","277","South Sudan","5110","Area","6621","Arable land","2021","2021","1000 ha","2394.7","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6650","Permanent crops","2021","2021","1000 ha","85","I","Imputed value",""
"RL","Land Use","277","South Sudan","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","25773","I","Imputed value",""
