Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1961","1961","1000 ha","6146","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1961","1961","1000 ha","235","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","8560","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1962","1962","1000 ha","6200","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1962","1962","1000 ha","240","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","8530","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1963","1963","1000 ha","6300","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1963","1963","1000 ha","241","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","8500","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1964","1964","1000 ha","6410","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1964","1964","1000 ha","244","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","8200","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1965","1965","1000 ha","6342","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1965","1965","1000 ha","257","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","7700","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1966","1966","1000 ha","5873","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1966","1966","1000 ha","257","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","7500","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1967","1967","1000 ha","5876","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1967","1967","1000 ha","254","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","7500","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1968","1968","1000 ha","5577","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1968","1968","1000 ha","284","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","7560","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1969","1969","1000 ha","5625","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1969","1969","1000 ha","260","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","7560","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1970","1970","1000 ha","5651","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1970","1970","1000 ha","258","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","7550","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1971","1971","1000 ha","5647","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1971","1971","1000 ha","261","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","7550","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1972","1972","1000 ha","5711","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1972","1972","1000 ha","290","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","8160","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1973","1973","1000 ha","5550","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1973","1973","1000 ha","328","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","8600","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1974","1974","1000 ha","5682","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1974","1974","1000 ha","345","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","8490","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1975","1975","1000 ha","5125","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1975","1975","1000 ha","351","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","8631","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1976","1976","1000 ha","5260","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1976","1976","1000 ha","412","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","8541","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1977","1977","1000 ha","5083","A","Official figure",""
