Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1961","1961","1000 ha","1262","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1961","1961","1000 ha","75","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1962","1962","1000 ha","1273","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1962","1962","1000 ha","75","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1963","1963","1000 ha","1285","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1963","1963","1000 ha","75","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1964","1964","1000 ha","1295","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1964","1964","1000 ha","75","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1965","1965","1000 ha","1305","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1965","1965","1000 ha","75","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1966","1966","1000 ha","1310","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1966","1966","1000 ha","81","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1967","1967","1000 ha","1317","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1967","1967","1000 ha","81","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1968","1968","1000 ha","1322","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1968","1968","1000 ha","81","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1969","1969","1000 ha","1327","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1969","1969","1000 ha","86","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1970","1970","1000 ha","1332","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1970","1970","1000 ha","86","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1971","1971","1000 ha","1340","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1971","1971","1000 ha","86","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1972","1972","1000 ha","1345","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1972","1972","1000 ha","92","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1973","1973","1000 ha","1350","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1973","1973","1000 ha","92","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1974","1974","1000 ha","1355","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1974","1974","1000 ha","92","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1975","1975","1000 ha","1363","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1975","1975","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1976","1976","1000 ha","1363","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1976","1976","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1977","1977","1000 ha","1363","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1977","1977","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1978","1978","1000 ha","1365","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1978","1978","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1979","1979","1000 ha","1366","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1979","1979","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1980","1980","1000 ha","1366","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1980","1980","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1981","1981","1000 ha","1368","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1981","1981","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1982","1982","1000 ha","1368","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1982","1982","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1983","1983","1000 ha","1368","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1983","1983","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1984","1984","1000 ha","1368","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1984","1984","1000 ha","97","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1984","1984","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1985","1985","1000 ha","1372","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1985","1985","1000 ha","98","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1985","1985","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1986","1986","1000 ha","1372","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1986","1986","1000 ha","98","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1986","1986","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1987","1987","1000 ha","1376","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1987","1987","1000 ha","103","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1987","1987","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1988","1988","1000 ha","1376","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1988","1988","1000 ha","103","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1988","1988","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1989","1989","1000 ha","1378","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1989","1989","1000 ha","103","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1989","1989","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1990","1990","1000 ha","1523","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1990","1990","1000 ha","103","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6655","Permanent meadows and pastures","1990","1990","1000 ha","22000","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6621","Arable land","1991","1991","1000 ha","1528","I","Imputed value",""
"RL","Land Use","249","Yemen","5110","Area","6650","Permanent crops","1991","1991","1000 ha","103","I","Imputed value",""
