Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2008","2008","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2015","2015","1000 ha","65286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6601","Land area","2008","2008","1000 ha","65223","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6601","Land area","2015","2015","1000 ha","65223","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2008","2008","1000 ha","37916","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2015","2015","1000 ha","37910","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2008","2008","1000 ha","37916","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2015","2015","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2008","2008","1000 ha","7916","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2015","2015","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2008","2008","1000 ha","7794","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2015","2015","1000 ha","7765","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2008","2008","1000 ha","3224","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2015","2015","1000 ha","3355","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2008","2008","1000 ha","0","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2008","2008","1000 ha","4570","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","4410","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2008","2008","1000 ha","122","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2015","2015","1000 ha","145","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6656","Perm. meadows & pastures - Cultivated","2008","2008","","","","",""
"RL","Land Use","004","Afghanistan","5110","Area","6656","Perm. meadows & pastures - Cultivated","2015","2015","","","","",""
"RL","Land Use","004","Afghanistan","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2008","2008","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2015","2015","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6649","Farm buildings and Farmyards","2008","2008","","","","",""
