Area,Item,Year,Area harvested,Yield
Madagascar,"Anise, badian, fennel, coriander",1961,0,0
Madagascar,"Anise, badian, fennel, coriander",1962,0,0
Madagascar,"Anise, badian, fennel, coriander",1963,0,0
Madagascar,"Anise, badian, fennel, coriander",1964,0,0
Madagascar,"Anise, badian, fennel, coriander",1965,0,0
Madagascar,"Anise, badian, fennel, coriander",1966,0,0
Madagascar,"Anise, badian, fennel, coriander",1967,0,0
Madagascar,"Anise, badian, fennel, coriander",1968,0,0
Madagascar,"Anise, badian, fennel, coriander",1969,0,0
Madagascar,"Anise, badian, fennel, coriander",1970,0,0
Madagascar,"Anise, badian, fennel, coriander",1971,0,0
Madagascar,"Anise, badian, fennel, coriander",1972,0,0
Madagascar,"Anise, badian, fennel, coriander",1973,0,0
Madagascar,"Anise, badian, fennel, coriander",1974,0,0
Madagascar,"Anise, badian, fennel, coriander",1975,0,0
Madagascar,"Anise, badian, fennel, coriander",1976,0,0
Madagascar,"Anise, badian, fennel, coriander",1977,0,0
Madagascar,"Anise, badian, fennel, coriander",1978,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1979,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1980,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1981,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1982,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1983,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1984,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1985,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1986,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1987,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1988,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1989,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1990,"22.000000""""","4091.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1991,"16.000000""""","6250.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1992,"16.000000""""","6250.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1993,"16.000000""""","6250.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1994,"20.000000""""","6000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1995,"16.000000""""","5625.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1996,"20.000000""""","6000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1997,"20.000000""""","6000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1998,"20.000000""""","5500.000000"""""
Madagascar,"Anise, badian, fennel, coriander",1999,"22.000000""""","5455.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2000,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2001,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2002,"20.000000""""","5000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2003,"20.000000""""","6000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2004,"20.000000""""","6500.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2005,"24.000000""""","7500.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2006,"24.000000""""","7917.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2007,"20.000000""""","9000.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2008,"20.000000""""","10500.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2009,"22.000000""""","11364.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2010,"22.000000""""","11818.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2011,"22.000000""""","12273.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2012,"11.000000""""","13636.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2013,"11.000000""""","13636.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2014,"44.000000""""","13636.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2015,"33.000000""""","13636.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2016,"77.000000""""","13636.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2017,"54.000000""""","13704.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2018,"36.000000""""","15556.000000"""""
Madagascar,"Anise, badian, fennel, coriander",2019,"37.000000""""","15946.000000"""""
Madagascar,Apples,1961,"6900.000000""""","13043.000000"""""
Madagascar,Apples,1962,"6900.000000""""","13043.000000"""""
Madagascar,Apples,1963,"6900.000000""""","13043.000000"""""
Madagascar,Apples,1964,"7700.000000""""","12987.000000"""""
Madagascar,Apples,1965,"7700.000000""""","12987.000000"""""
Madagascar,Apples,1966,"9300.000000""""","12903.000000"""""
Madagascar,Apples,1967,"9300.000000""""","12903.000000"""""
Madagascar,Apples,1968,"3080.000000""""","12987.000000"""""
Madagascar,Apples,1969,"3080.000000""""","12987.000000"""""
Madagascar,Apples,1970,"3080.000000""""","12987.000000"""""
Madagascar,Apples,1971,"4900.000000""""","12829.000000"""""
Madagascar,Apples,1972,"4950.000000""""","12980.000000"""""
Madagascar,Apples,1973,"3475.000000""""","12158.000000"""""
