Area,Item,Year,Area harvested,Yield
Spain,"Almonds, with shell",1961,203600.000000,10020.000000
Spain,"Almonds, with shell",1962,206600.000000,6292.000000
Spain,"Almonds, with shell",1963,208900.000000,7276.000000
Spain,"Almonds, with shell",1964,217000.000000,7005.000000
Spain,"Almonds, with shell",1965,215300.000000,7106.000000
Spain,"Almonds, with shell",1966,210700.000000,7356.000000
Spain,"Almonds, with shell",1967,209700.000000,10095.000000
Spain,"Almonds, with shell",1968,222800.000000,6845.000000
Spain,"Almonds, with shell",1969,217200.000000,5009.000000
Spain,"Almonds, with shell",1970,267700.000000,6194.000000
Spain,"Almonds, with shell",1971,262500.000000,5356.000000
Spain,"Almonds, with shell",1972,331900.000000,7053.000000
Spain,"Almonds, with shell",1973,382900.000000,5652.000000
Spain,"Almonds, with shell",1974,420000.000000,7593.000000
Spain,"Almonds, with shell",1975,434800.000000,5872.000000
Spain,"Almonds, with shell",1976,450000.000000,7036.000000
Spain,"Almonds, with shell",1977,461200.000000,3365.000000
Spain,"Almonds, with shell",1978,482800.000000,6353.000000
Spain,"Almonds, with shell",1979,507560.000000,3891.000000
Spain,"Almonds, with shell",1980,515600.000000,4370.000000
Spain,"Almonds, with shell",1981,519500.000000,5915.000000
Spain,"Almonds, with shell",1982,524300.000000,6014.000000
Spain,"Almonds, with shell",1983,526550.000000,3149.000000
Spain,"Almonds, with shell",1984,531424.000000,4443.000000
Spain,"Almonds, with shell",1985,556200.000000,5164.000000
Spain,"Almonds, with shell",1986,559400.000000,3958.000000
Spain,"Almonds, with shell",1987,569400.000000,4391.000000
Spain,"Almonds, with shell",1988,561200.000000,3024.000000
Spain,"Almonds, with shell",1989,581800.000000,5578.000000
Spain,"Almonds, with shell",1990,584100.000000,4284.000000
Spain,"Almonds, with shell",1991,595000.000000,4333.000000
Spain,"Almonds, with shell",1992,580200.000000,4859.000000
Spain,"Almonds, with shell",1993,594600.000000,4710.000000
Spain,"Almonds, with shell",1994,596100.000000,3996.000000
Spain,"Almonds, with shell",1995,602900.000000,2636.000000
Spain,"Almonds, with shell",1996,604400.000000,4009.000000
Spain,"Almonds, with shell",1997,629100.000000,6181.000000
Spain,"Almonds, with shell",1998,630100.000000,3498.000000
Spain,"Almonds, with shell",1999,624300.000000,4471.000000
Spain,"Almonds, with shell",2000,670534.000000,3359.000000
Spain,"Almonds, with shell",2001,658800.000000,3865.000000
Spain,"Almonds, with shell",2002,648997.000000,4305.000000
Spain,"Almonds, with shell",2003,641688.000000,3342.000000
Spain,"Almonds, with shell",2004,622577.000000,1391.000000
Spain,"Almonds, with shell",2005,625483.000000,3483.000000
Spain,"Almonds, with shell",2006,578717.000000,5403.000000
Spain,"Almonds, with shell",2007,563770.000000,3329.000000
Spain,"Almonds, with shell",2008,566869.000000,3177.000000
Spain,"Almonds, with shell",2009,562616.000000,4811.000000
Spain,"Almonds, with shell",2010,546789.000000,4070.000000
Spain,"Almonds, with shell",2011,536312.000000,3893.000000
Spain,"Almonds, with shell",2012,529500.000000,3998.000000
Spain,"Almonds, with shell",2013,534100.000000,2790.000000
Spain,"Almonds, with shell",2014,527058.000000,3713.000000
