Domain,Area,Element,Months,Year,Unit,Value
"Temperature change on land","Thailand","Temperature change","Meteorological year","1961","°c","-0.176"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1962","°c","-0.164"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1963","°c","-0.328"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1964","°c","-0.041"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1965","°c","-0.228"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1966","°c","0.406"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1967","°c","-0.058"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1968","°c","-0.128"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1969","°c","0.464"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1970","°c","0.015"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1971","°c","-0.469"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1972","°c","0.043"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1973","°c","0.361"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1974","°c","-0.453"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1975","°c","0.095"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1976","°c","-0.501"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1977","°c","0.109"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1978","°c","0.306"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1979","°c","0.617"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1980","°c","0.536"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1981","°c","0.346"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1982","°c","0.182"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1983","°c","0.495"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1984","°c","0.158"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1985","°c","0.359"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1986","°c","0.137"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1987","°c","0.815"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1988","°c","0.354"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1989","°c","0.384"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1990","°c","0.592"
"Temperature change on land","Thailand","Temperature change","Meteorological year","1991","°c","0.729"
